,results
0,7.399
1,8.2185
2,7.672
3,8.3535
4,7.4145
5,7.431
6,7.761
7,7.4135
8,7.605
9,7.903
10,7.6955
11,7.8925
12,7.3375
13,7.8315
14,8.322
15,7.5995
16,8.7645
17,7.6135
18,7.98
19,8.0545
20,7.953
21,8.454
22,8.246
23,7.58
24,7.3965
25,6.552
26,6.7765
27,7.3255
28,6.9635
29,7.578
30,8.057
31,7.846
32,7.378
33,7.5945
34,7.9365
35,8.537
36,9.151
37,8.078
38,6.787
39,7.7005
40,7.9715
41,6.8255
42,8.135
43,7.334
44,7.362
45,7.6785
46,7.3545
47,8.0505
48,7.5315
49,7.9875
50,6.9675
51,7.5285
52,7.601
53,7.6765
54,7.9025
55,7.579
56,7.384
57,7.701
58,8.1445
59,8.8635
60,7.5915
61,7.753
62,6.9035
63,8.2445
64,8.142
65,7.843
66,7.558
67,7.587
68,7.4135
69,8.173
70,7.9805
71,8.245
72,7.1445
73,7.01
74,8.2785
75,6.935
76,7.737
77,7.6625
78,7.286
79,7.854
80,7.53
81,8.043
82,7.3885
83,8.921
84,7.111
85,8.1945
86,8.169
87,7.993
88,7.84
89,8.8855
90,7.664
91,7.265
92,8.218
93,7.817
94,7.9775
95,7.8355
96,7.986
97,8.325
98,7.704
99,7.169
100,8.8035
101,7.9105
102,9.064
103,8.296
104,8.65
105,7.914
106,7.146
107,7.2825
108,7.78
109,8.757
110,7.8135
111,7.0335
112,7.249
113,7.5425
114,7.593
115,6.9925
116,7.877
117,7.8355
118,8.8725
119,7.337
120,7.8245
121,7.613
122,6.9405
123,7.7705
124,7.964
125,8.0355
126,7.137
127,7.8615
128,7.1325
129,8.3515
130,7.29
131,8.4105
132,7.162
133,7.15
134,7.1255
135,8.773
136,7.111
137,9.855
138,8.239
139,8.246
140,7.926
141,7.7575
142,7.5565
143,7.1175
144,7.6085
145,7.133
146,7.0495
147,8.663
148,8.0735
149,8.5015
150,7.213
151,7.8695
152,7.866
153,7.32
154,7.197
155,7.7655
156,7.9215
157,7.0635
158,8.4375
159,8.732
160,8.126
161,7.544
162,7.3945
163,8.5955
164,7.852
165,7.121
166,7.5275
167,7.666
168,7.475
169,8.054
170,8.9895
171,8.0705
172,7.3295
173,7.4305
174,7.3315
175,8.167
176,8.541
177,7.8725
178,8.5295
179,8.454
180,7.295
181,7.094
182,7.5565
183,7.166
184,7.04
185,6.5825
186,7.556
187,7.029
188,7.33
189,8.2875
190,7.5805
191,6.9925
192,8.495
193,7.318
194,8.2085
195,8.2295
196,7.058
197,7.1025
198,8.8655
199,8.1695
200,7.6365
201,8.548
202,8.6665
203,7.186
204,8.523
205,7.3265
206,7.006
207,7.491
208,7.52
209,8.034
210,7.5615
211,7.3755
212,6.4365
213,7.95
214,7.2825
215,7.5045
216,7.797
217,7.6705
218,7.3825
219,7.613
220,7.651
221,7.1695
222,7.122
223,7.675
224,7.005
225,7.161
226,7.7095
227,7.1445
228,7.804
229,7.2725
230,7.1835
231,7.4415
232,6.601
233,7.049
234,7.399
235,8.7335
236,8.917
237,7.4855
238,8.5585
239,7.5755
240,7.7535
241,8.2385
242,7.6825
243,7.1345
244,7.482
245,7.3095
246,7.505
247,7.86
248,7.9465
249,7.465
250,7.413
251,8.9945
252,6.5395
253,7.6755
254,7.597
255,8.6465
256,7.3695
257,7.0865
258,8.0565
259,7.238
260,8.642
261,7.201
262,7.254
263,8.6595
264,7.9045
265,7.6035
266,7.1435
267,7.2655
268,7.5565
269,7.9465
270,8.775
271,7.1865
272,7.796
273,7.0185
274,8.6225
275,7.361
276,8.138
277,9.5185
278,7.7455
279,8.415
280,7.419
281,8.0065
282,7.516
283,7.6175
284,8.3595
285,7.867
286,6.9775
287,7.1845
288,8.929
